BLOCK_ID,geometry,id,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,IDDIST,area_km2
16610F032S,"POLYGON Z ((-77.139454 -12.062636 0, -77.139537 -12.061655 0, -77.138313 -12.061444 0, -77.138392 -12.060243 0, -77.139664 -12.060477 0, -77.139867 -12.058563 0, -77.137234 -12.058783 0, -77.136816 -12.061171 0, -77.138303 -12.061456 0, -77.138282 -12.062375 0, -77.139454 -12.062636 0))",,16610F032S,,,,,,-1,0,-1,,,70101.0,0.08505296826463844
16610F045S,"POLYGON Z ((-77.0933077319823 -12.0158362217831 0, -77.0943515796832 -12.0142841292197 0, -77.0934434797175 -12.0136114369646 0, -77.0926509903804 -12.0148248483988 0, -77.0915115491977 -12.0140678984956 0, -77.0912170113441 -12.0145051101421 0, -77.0916729982656 -12.0147954002052 0, -77.0910773357086 -12.0157177271974 0, -77.0926896011451 -12.0167573450832 0, -77.0930237642197 -12.0162801012796 0, -77.0920739765926 -12.0156474260802 0, -77.0923492052599 -12.0152541466725 0, -77.0933077319823 -12.0158362217831 0))",,16610F045S,,,,,,-1,0,-1,,,70101.0,0.053011756174825134
16610F047S,"POLYGON Z ((-77.122134 -12.044653 0, -77.121887 -12.043868 0, -77.122629 -12.043778 0, -77.124294 -12.043814 0, -77.126433 -12.043887 0, -77.12657 -12.04284 0, -77.125797 -12.042924 0, -77.125714 -12.043471 0, -77.125406 -12.043477 0, -77.125378 -12.042944 0, -77.124571 -12.042963 0, -77.124551 -12.043477 0, -77.12417 -12.043442 0, -77.124197 -12.042925 0, -77.123782 -12.042868 0, -77.122687 -12.04285 0, -77.122645 -12.043306 0, -77.12172 -12.043336 0, -77.121594 -12.042927 0, -77.120492 -12.043381 0, -77.12074 -12.044251 0, -77.120884 -12.04463 0, -77.120044 -12.044901 0, -77.120059 -12.044964 0, -77.120314 -12.044937 0, -77.122134 -12.044653 0))",,16610F047S,,,,,,-1,0,-1,,,70101.0,0.06878443414026732
16610F048S,"POLYGON Z ((-77.119966 -12.041227 0, -77.11836 -12.041468 0, -77.11842 -12.041831 0, -77.118493 -12.042276 0, -77.120125 -12.042146 0, -77.120173 -12.042484 0, -77.11823 -12.043149 0, -77.118078 -12.042411 0, -77.117735 -12.042484 0, -77.117892 -12.043189 0, -77.118072 -12.043185 0, -77.118169 -12.043699 0, -77.121394 -12.042561 0, -77.121266 -12.04195 0, -77.120083 -12.042076 0, -77.119966 -12.041227 0))",,16610F048S,,,,,,-1,0,-1,,,70101.0,0.04400797289853078
16610U195S,"POLYGON Z ((-77.141223831426 -12.0579600979426 0, -77.1400151066339 -12.0564338964369 0, -77.1379477054687 -12.0580628721521 0, -77.1385276642049 -12.0587158781752 0, -77.1414110995457 -12.0584499636041 0, -77.1413824807385 -12.0581939687534 0, -77.141223831426 -12.0579600979426 0))",,16610U195S,,,,,,-1,0,-1,,,70101.0,0.05311279749094881
16610U220S,"POLYGON Z ((-77.111275 -12.002187 0, -77.111184 -12.00212 0, -77.111973 -12.000503 0, -77.111111 -12.000072 0, -77.111433 -11.999565 0, -77.111214 -11.999501 0, -77.109444 -12.002851 0, -77.109674 -12.00298 0, -77.109492 -12.003426 0, -77.109958 -12.003676 0, -77.110214 -12.003226 0, -77.110638 -12.003416 0, -77.111275 -12.002187 0))",,16610U220S,,,,,,-1,0,-1,,,70101.0,0.05266673966532387
16610U224S,"POLYGON Z ((-77.103668 -12.002973 0, -77.103277 -12.003896 0, -77.103472 -12.004018 0, -77.10295 -12.005115 0, -77.103931 -12.005627 0, -77.105104 -12.003136 0, -77.103643 -12.002481 0, -77.103169 -12.002716 0, -77.103668 -12.002973 0))",,16610U224S,,,,,,-1,0,-1,,,70101.0,0.04262145893914625
16610U276S,"POLYGON Z ((-77.097652 -12.01696 0, -77.097862 -12.016732 0, -77.096933 -12.015596 0, -77.096387 -12.016003 0, -77.096741 -12.016398 0, -77.096326 -12.016762 0, -77.095969 -12.017232 0, -77.095235 -12.018323 0, -77.096256 -12.019627 0, -77.096444 -12.01952 0, -77.097503 -12.01717 0, -77.097652 -12.01696 0))",,16610U276S,,,,,,-1,0,-1,,,70101.0,0.05608484582406655
16610U285S,"POLYGON Z ((-77.102482 -12.020979 0, -77.102246 -12.020884 0, -77.102475 -12.020446 0, -77.10113 -12.019669 0, -77.10054 -12.020899 0, -77.100763 -12.02099 0, -77.10069 -12.021146 0, -77.102102 -12.021824 0, -77.102482 -12.020979 0))",,16610U285S,,,,,,-1,0,-1,,,70101.0,0.02950829404881224
16610U292S,"POLYGON Z ((-77.100815 -12.02653 0, -77.101392 -12.025382 0, -77.099533 -12.024491 0, -77.09952 -12.024771 0, -77.100129 -12.025074 0, -77.099735 -12.025889 0, -77.099942 -12.026207 0, -77.100459 -12.026554 0, -77.100815 -12.02653 0))",,16610U292S,,,,,,-1,0,-1,,,70101.0,0.023093895046590363
16610U294S,"POLYGON Z ((-77.094267 -12.021836 0, -77.094072 -12.021459 0, -77.091471 -12.022692 0, -77.091877 -12.023258 0, -77.092894 -12.023728 0, -77.092473 -12.02276 0, -77.093027 -12.022481 0, -77.093406 -12.023136 0, -77.093616 -12.023038 0, -77.093282 -12.022351 0, -77.094267 -12.021836 0))",,16610U294S,,,,,,-1,0,-1,,,70101.0,0.02410956309592724
16610U298S,"POLYGON Z ((-77.097409 -12.023195 0, -77.098089 -12.022873 0, -77.097266 -12.021586 0, -77.096943 -12.021728 0, -77.097261 -12.022275 0, -77.096333 -12.022762 0, -77.096608 -12.023253 0, -77.097212 -12.022935 0, -77.097409 -12.023195 0))",,16610U298S,,,,,,-1,0,-1,,,70101.0,0.01556331320451945
16610U308S,"POLYGON Z ((-77.098964 -12.024709 0, -77.098865 -12.024172 0, -77.098557 -12.023722 0, -77.098198 -12.023818 0, -77.097155 -12.024371 0, -77.097561 -12.025111 0, -77.098139 -12.024849 0, -77.097827 -12.025527 0, -77.098403 -12.025839 0, -77.098964 -12.024709 0))",,16610U308S,,,,,,-1,0,-1,,,70101.0,0.02574796948663518
16610U318S,"POLYGON Z ((-77.103408 -12.023411 0, -77.103831 -12.022672 0, -77.102679 -12.022126 0, -77.102001 -12.023407 0, -77.10229 -12.023538 0, -77.102581 -12.023035 0, -77.103408 -12.023411 0))",,16610U318S,,,,,,-1,0,-1,,,70101.0,0.01532938299010694
16610U327S,"POLYGON Z ((-77.09874 -12.032042 0, -77.098755 -12.032039 0, -77.098338 -12.031592 0, -77.096339 -12.033413 0, -77.096785 -12.034359 0, -77.096914 -12.034256 0, -77.097338 -12.034444 0, -77.098324 -12.033507 0, -77.098518 -12.033612 0, -77.098784 -12.033289 0, -77.098076 -12.032621 0, -77.09874 -12.032042 0))",,16610U327S,,,,,,-1,0,-1,,,70101.0,0.04081607568084588
16610U331S,"POLYGON Z ((-77.097575 -12.034947 0, -77.096996 -12.034964 0, -77.097639 -12.035864 0, -77.097294 -12.036294 0, -77.097013 -12.036437 0, -77.096968 -12.037208 0, -77.097275 -12.037336 0, -77.09727 -12.037715 0, -77.098895 -12.037903 0, -77.099341 -12.035616 0, -77.098709 -12.035385 0, -77.097954 -12.035287 0, -77.097575 -12.034947 0))",,16610U331S,,,,,,-1,0,-1,,,70101.0,0.05870836864653893
16610U340S,"POLYGON Z ((-77.100178 -12.037313 0, -77.099669 -12.037188 0, -77.099419 -12.039172 0, -77.100292 -12.039662 0, -77.100916 -12.039227 0, -77.101049 -12.039349 0, -77.101274 -12.039443 0, -77.101579 -12.039456 0, -77.101605 -12.039155 0, -77.101367 -12.039074 0, -77.101122 -12.038877 0, -77.100782 -12.038352 0, -77.100178 -12.037313 0))",,16610U340S,,,,,,-1,0,-1,,,70101.0,0.03402023921854747
16610U344S,"POLYGON Z ((-77.087286 -12.048987 0, -77.0874 -12.047478 0, -77.08241 -12.047039 0, -77.082374 -12.048048 0, -77.081888 -12.050546 0, -77.085052 -12.051074 0, -77.085491 -12.04892 0, -77.087286 -12.048987 0))",,16610U344S,,,,,,-1,0,-1,,,70101.0,0.1757561266135499
